iter	RMSE
0	72189.33447
1	67370.15232
2	63523.70921
3	60052.00799
4	57059.26073
5	54013.05417
6	51501.14544
7	49024.63863
8	46826.81801
9	44918.8171
10	43086.1923
11	41649.96574
12	40279.0677
13	39103.88264
14	37909.84301
15	36958.06148
16	35813.19169
17	34896.75316
18	34187.10994
19	33528.76465
20	32932.68679
21	32362.60748
22	31704.12353
23	31198.08949
24	30749.23916
25	30297.84794
26	29892.92784
27	29390.27967
28	29071.67885
29	28660.39137
30	28347.73908
31	27910.74035
32	27536.86569
33	27336.65513
34	27071.88908
35	26804.66176
36	26574.07383
37	26334.76391
38	26059.45723
39	25855.75694
40	25667.39965
41	25498.03813
42	25258.2546
43	25118.86126
44	24929.44145
45	24742.5673
46	24555.84367
47	24411.59492
48	24266.57934
49	24178.90875
50	24096.51265
51	23988.80753
52	23904.34694
53	23767.33039
54	23684.61124
55	23560.23842
56	23491.70942
57	23377.41004
58	23256.91405
59	23226.54728
60	23169.16121
61	23064.25283
62	22986.37389
63	22898.55082
64	22806.38126
65	22724.02036
66	22634.45954
67	22564.00531
68	22475.66129
69	22372.63839
70	22288.26832
71	22194.07013
72	22139.98478
73	22026.55283
74	21921.33801
75	21853.55182
76	21772.93865
77	21657.11584
78	21547.88255
79	21430.71771
80	21365.08773
81	21286.29656
82	21229.77476
83	21156.11901
84	21065.3436
85	20977.47852
86	20877.09954
87	20754.35186
88	20654.10055
89	20584.01402
90	20522.46564
91	20418.76476
92	20348.7427
93	20286.12996
94	20228.11426
95	20129.2698
96	20079.41578
97	20024.14136
98	19963.16172
99	19890.64592
