iter	Passed	Remaining
0	0	87
1	1	75
2	2	72
3	2	70
4	3	68
5	4	67
6	4	65
7	5	66
8	6	67
9	7	66
10	8	68
11	10	73
12	10	72
13	11	72
14	12	70
15	13	68
16	13	67
17	14	66
18	15	65
19	16	64
20	16	63
21	17	63
22	18	63
23	19	62
24	20	62
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	38
49	38	38
50	39	37
51	39	36
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	62	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
