iter	RMSE
0	0.3792925256
1	0.3693203563
2	0.3589081186
3	0.3488864598
4	0.340058494
5	0.3307013338
6	0.3220667828
7	0.3140046171
8	0.3059181648
9	0.2986148951
10	0.2912890777
11	0.284172134
12	0.2774393765
13	0.2710943332
14	0.2652645938
15	0.259428438
16	0.2544136619
17	0.2489726063
18	0.2440609474
19	0.2392702881
20	0.2344056168
21	0.2300226568
22	0.2259926699
23	0.2220387816
24	0.2185845464
25	0.2150899535
26	0.2115960809
27	0.2080225519
28	0.2045174492
29	0.2011613313
30	0.1983773166
31	0.1953436179
32	0.1926452522
33	0.1900574455
34	0.1875212958
35	0.1851044668
36	0.1828735164
37	0.1804163149
38	0.1780972524
39	0.1762217936
40	0.1745078395
41	0.1725569761
42	0.1705473807
43	0.1688408322
44	0.1670800901
45	0.1657596878
46	0.1642473719
47	0.1628240039
48	0.161495401
49	0.1599884865
50	0.158417776
51	0.1572244007
52	0.1562608953
53	0.1550430814
54	0.1539333104
55	0.1528819045
56	0.151861502
57	0.1509061462
58	0.1498263637
59	0.1489194725
60	0.1479252912
61	0.146898729
62	0.1461022746
63	0.1452164104
64	0.1443428034
65	0.1435896352
66	0.1429088189
67	0.1422854985
68	0.1416613174
69	0.141053195
70	0.1404390736
71	0.1398641098
72	0.1393323423
73	0.1387963655
74	0.1381169593
75	0.1373527667
76	0.1368215234
77	0.1362526164
78	0.135672868
79	0.1352878735
80	0.1348620161
81	0.1344096008
82	0.1339209569
83	0.1335010948
84	0.1330252662
85	0.1326734607
86	0.1323231415
87	0.1318924455
88	0.1315915555
89	0.1313266501
90	0.1309609747
91	0.1305749283
92	0.1302731146
93	0.1298621232
94	0.1295321723
95	0.1291748873
96	0.1287975017
97	0.1285092451
98	0.1282270207
99	0.1278708872
100	0.1275929637
101	0.1273537893
102	0.1270583289
103	0.1268613886
104	0.1266701767
105	0.1264219317
106	0.1261691332
107	0.1258433291
108	0.1256455285
109	0.1254281375
110	0.1252104329
111	0.1250038034
112	0.1246596121
113	0.1243623832
114	0.124144734
115	0.123937819
116	0.1238155416
117	0.1236242986
118	0.1234430191
119	0.1232589025
120	0.123111645
121	0.1228989595
122	0.12272738
123	0.1224971042
124	0.1223319808
125	0.1221644998
126	0.1220313693
127	0.1219661678
128	0.1218066057
129	0.1215984116
130	0.1215121377
131	0.1213879814
132	0.121177059
133	0.1210534114
134	0.1209018102
135	0.120724843
136	0.1206221095
137	0.1204613631
138	0.1202544147
139	0.120103814
140	0.1200316359
141	0.1198240215
142	0.1197301032
143	0.1196285122
144	0.1194932424
145	0.1193811869
146	0.1192165721
147	0.1190920254
148	0.1189681339
149	0.1187617726
150	0.1186671074
151	0.1185832908
152	0.1184563607
153	0.118335431
154	0.1181866199
155	0.118038517
156	0.1179485559
157	0.1178427352
158	0.1176870065
159	0.1175478236
160	0.1173998832
161	0.1172602352
162	0.1171203567
163	0.1170444883
164	0.1169421054
165	0.1168200309
166	0.1166916952
167	0.1164249213
168	0.1162991631
169	0.1161440053
170	0.1160138889
171	0.1158341132
172	0.1157273077
173	0.1155589144
174	0.1154739596
175	0.1152799818
176	0.1151694931
177	0.1150859742
178	0.1149958905
179	0.1148417195
180	0.1146644901
181	0.1144832253
182	0.1143379848
183	0.1142022693
184	0.1141245484
185	0.1140404931
186	0.1138737755
187	0.1137596095
188	0.1136779419
189	0.1135744496
190	0.1135315865
191	0.1134120252
192	0.113222593
193	0.1130876598
194	0.1129075417
195	0.1127833046
196	0.1126770624
197	0.112505064
198	0.1123835424
199	0.1122839165
200	0.1121581003
201	0.1120772045
202	0.1119113274
203	0.1117858544
204	0.1116625294
205	0.111557463
206	0.1114614882
207	0.1112677279
208	0.1111492098
209	0.1110936349
210	0.1109393995
211	0.1108318358
212	0.1107220836
213	0.1106063264
214	0.1105002848
215	0.1103638118
216	0.1102852493
217	0.1101688282
218	0.1100192721
219	0.1098589719
220	0.1097655632
221	0.1096714302
222	0.1095371984
223	0.1093686169
224	0.1091964655
225	0.1091082336
226	0.1090413628
227	0.1089519755
228	0.1088330803
229	0.1087439648
230	0.1086953529
231	0.1085986622
232	0.1085094826
233	0.108408652
234	0.1082122824
235	0.1080438401
236	0.1080089218
237	0.1079032209
238	0.1078157233
239	0.1077334853
240	0.1076029316
241	0.1074831159
242	0.1073286489
243	0.1072333854
244	0.1071457165
