iter	Passed	Remaining
0	59	59761
1	60	30296
2	61	20592
3	62	15626
4	63	12666
5	64	10698
6	65	9258
7	66	8193
8	66	7371
9	68	6734
10	68	6191
11	69	5730
12	70	5354
13	71	5030
14	72	4743
15	72	4487
16	73	4258
17	74	4057
18	75	3881
19	76	3724
20	77	3590
21	77	3455
22	78	3340
23	79	3230
24	80	3126
25	81	3036
26	81	2949
27	82	2866
28	83	2787
29	84	2723
30	85	2662
31	85	2600
32	86	2540
33	87	2483
34	88	2429
35	88	2382
36	89	2336
37	90	2294
38	91	2255
39	92	2228
40	93	2194
41	94	2160
42	95	2128
43	96	2103
44	97	2078
45	98	2052
46	100	2036
47	101	2012
48	102	1991
49	104	1981
50	109	2046
51	111	2031
52	112	2011
53	113	1990
54	114	1968
55	115	1948
56	116	1927
57	117	1907
58	118	1889
59	119	1872
60	120	1854
61	121	1836
62	122	1819
63	123	1802
64	124	1790
65	125	1778
66	126	1765
67	127	1751
68	128	1739
69	131	1744
70	132	1732
71	133	1720
72	136	1728
73	139	1741
74	139	1725
75	141	1716
76	142	1706
77	143	1695
78	144	1687
79	145	1678
80	147	1671
81	148	1660
82	149	1649
83	150	1638
84	151	1627
85	152	1617
86	153	1612
87	154	1602
88	155	1592
89	156	1586
90	158	1581
91	159	1572
92	160	1564
93	161	1558
94	162	1552
95	164	1546
96	165	1540
97	167	1546
98	169	1546
99	171	1545
100	173	1540
101	174	1536
102	175	1528
103	176	1523
104	177	1516
105	178	1508
106	180	1503
107	181	1496
108	182	1491
109	183	1485
110	184	1479
111	185	1472
112	186	1466
113	188	1464
114	191	1472
115	192	1468
116	194	1466
117	195	1463
118	197	1459
119	198	1456
120	200	1453
121	201	1448
122	202	1444
123	204	1441
124	205	1439
125	206	1434
126	207	1428
127	208	1422
128	209	1417
129	211	1412
130	211	1405
131	212	1400
132	214	1395
133	215	1390
134	216	1386
135	217	1382
136	218	1377
137	219	1373
138	221	1369
139	222	1367
140	223	1362
141	224	1358
142	226	1357
143	227	1354
144	229	1351
145	230	1347
146	231	1344
147	233	1343
148	234	1338
149	237	1345
150	239	1345
151	240	1342
152	245	1356
153	246	1354
154	248	1354
155	249	1351
156	251	1348
157	252	1345
158	254	1348
159	256	1344
160	257	1341
161	258	1338
162	260	1335
163	261	1333
164	265	1344
165	269	1351
166	271	1354
167	272	1351
168	276	1357
169	278	1357
170	282	1370
